Symbol,Industry,ISIN Code,Indices
HINDPETRO,Oil Gas & Consumable Fuels,INE094A01015,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
HINDUNILVR,Fast Moving Consumer Goods,INE030A01027,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
HINDZINC,Metals & Mining,INE267A01025,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
POWERINDIA,Capital Goods,INE07Y701011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
HOMEFIRST,Financial Services,INE481N01025,"NIFTY 500, NIFTY SMALLCAP 250"
HONASA,Fast Moving Consumer Goods,INE0J5401028,"NIFTY 500, NIFTY SMALLCAP 250"
HONAUT,Capital Goods,INE671A01010,"NIFTY 500, NIFTY MIDCAP 150"
HUDCO,Financial Services,INE031A01017,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
HYUNDAI,Automobile and Auto Components,INE0V6F01027,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
ICICIBANK,Financial Services,INE090A01021,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK"
ICICIGI,Financial Services,INE765G01017,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
ICICIPRULI,Financial Services,INE726G01019,"NIFTY 500, NIFTY MIDCAP 150"
IDBI,Financial Services,INE008A01015,"NIFTY 500, NIFTY MIDCAP 150"
IDFCFIRSTB,Financial Services,INE092T01019,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY BANK"
IFCI,Financial Services,INE039A01010,"NIFTY 500, NIFTY SMALLCAP 250"
IIFL,Financial Services,INE530B01024,"NIFTY 500, NIFTY SMALLCAP 250"
INOXINDIA,Capital Goods,INE616N01034,"NIFTY 500, NIFTY SMALLCAP 250"
IRB,Construction,INE821I01022,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
IRCON,Construction,INE962Y01021,"NIFTY 500, NIFTY SMALLCAP 250"
ITCHOTELS,Consumer Services,INE379A01028,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
ITC,Fast Moving Consumer Goods,INE154A01025,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
ITI,Telecommunication,INE248A01017,"NIFTY 500, NIFTY SMALLCAP 250"
INDGN,Healthcare,INE065X01017,"NIFTY 500, NIFTY SMALLCAP 250"
INDIACEM,Construction Materials,INE383A01012,"NIFTY 500, NIFTY SMALLCAP 250"
INDIAMART,Consumer Services,INE933S01016,"NIFTY 500, NIFTY SMALLCAP 250"
INDIANB,Financial Services,INE562A01011,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
IEX,Financial Services,INE022Q01020,"NIFTY 500, NIFTY SMALLCAP 250"
